id,airline_code,departure_station,arrival_station,route_id_in_FOS,miles,Wind Miles,SUP,route_string(excluding departure and arrival stations),Supplemental Route,Only One route available
1,AA,BWI,CLT,11,326,326,,TERPZ6 LYH CHSLY3 ,,
2,AA,BWI,CLT,14,407,407,,TERPZ6 MAULS DCT ZOOMS DCT LNDIZ PARQR3,Y,
3,MQ,CHO,CLT,11,228,228,,DCT LYH CHSLY3 ,,
4,MQ,CHO,CLT,13,320,320,,DCT MOL J42 BKW DCT LNDIZ PARQR3,,
5,AA,DCA,CLT,1,290,290,,SCRAM4 LYH CHSLY3 ,,
6,AA,DCA,CLT,42,423,423,,BOOCK3 COLIN J61 HUBBS J193 KATZN DCT FKN DCT OKNEE MLLET2,,
7,AA,DFW,CLT,45,837,837,,ZACHH3 BSKAT DCT LIT DCT BNA DCT TAZZA FILPZ3 ,,
8,AA,DFW,CLT,1,839,839,,FORCK2 FORCK DCT ELD DCT SQS J52 ATL DCT BESTT JONZE2 ,,
10,AA,GSO,CLT,11,88,88,,DCT CHSLY CHSLY3 ,,
11,AA,GSO,CLT,12,177,177,,DCT WILUM PARQR3 ,,
12,MQ,GSO,CLT,11,88,88,,DCT CHSLY CHSLY3 ,,
13,AA,HSV,CLT,11,313,313,,DCT TAZZA FILPZ3 ,,
14,AA,HSV,CLT,12,336,336,,DCT ATL DCT BESTT JONZE1 ,,
15,AA,IAD,CLT,41,283,283,,SCRAM3 LYH CHSLY3 ,,Y
16,AA,IAD,CLT,42,441,441,,JCOBY3 COLIN J61 HUBBS J193 HCM DCT FKN J79 BLAMO DCT TORQD MILLET2,,
17,AA,LAS,CLT,14,1680,1680,,COWBY8 GUP DCT KA39Y DCT KK39E DCT KM39G DCT BNA DCT TAZZA FILPZ3 ,,
18,AA,LAS,CLT,17,1742,1742,,COWBY8 GUP J72 SPS DCT TXK J52 ATL DCT BESTT JONZE2 ,,
19,AA,LAX,CLT,41,1879,1879,,DOTSS2 CLEEE DCT PKE J78 DRK J96 GUP J8 BGD DCT TUL J46 BNA DCT TAZZA FILPZ3 ,,
20,AA,LAX,CLT,15,1930,1930,,DOTSS2 CLEEE DCT PKE J74 TXO J72 SPS DCT TXK J52 ATL DCT BESTT JONZE2 ,,
21,AA,MEM,CLT,1,462,462,,GOETZ5 GOETZ DCT BNA DCT TAZZA FILPZ3 ,,
22,AA,MEM,CLT,11,508,508,,BBKNG5 KERMI DCT VUZ J14 ATL DCT BESTT JONZE2 ,Y,
23,MQ,ORF,CLT,11,262,262,,DCT COUPN CHSLY3 ,,
24,MQ,ORF,CLT,12,308,308,,J121 ISO DCT TORQD MLLET2,Y,
25,AA,PHL,CLT,11,399,399,,DCT STOEN J75 GVE DCT LYH CHSLY3 ,,
26,AA,PHL,CLT,29,492,492,,DCT SBY J209 ORF J121 ISO DCT TORQD MLLET2,Y,
27,AA,PHX,CLT,11,1552,1552,,BROAK1 MAXXO DCT IRW DCT FSM DCT ARG DCT TAZZA FILPZ3 ,,
28,AA,PHX,CLT,44,1592,1592,,DCT MAXXO DCT CNX J74 TXO J72 SPS DCT TXK J52 ATL DCT BESTT JONZE2 ,,
29,AA,RDU,CLT,1,126,126,,DCT CATAR DCT SDAIL CHSLY3 ,,
30,AA,RDU,CLT,15,180,180,,HOOKZ3 FAY DCT TORQD MLLET2,Y,
31,AA,RIC,CLT,1,241,241,,KALLI3 LYH CHSLY3 ,,
32,AA,RIC,CLT,43,309,309,,DCT HPW DCT TYI DCT TORQD MLLET2 ,Y,
33,MQ,RIC,CLT,1,241,241,,KALLI3 LYH CHSLY3 ,,
34,AA,SFO,CLT,41,2001,2001,,TRUKN2 SYRAH Q128 EDLES DCT KD51W DCT KK45G DCT BNA DCT TAZZA FILPZ3 ,,
35,AA,SFO,CLT,21,2073,2073,,TRUKN2 SYRAH Q128 FLOOD DCT PUB J28 GCK J110 STL J134 FLM DCT TAFTT PARQR3 ,,
36,TE,CHA,CLT,,287,287,,VXV COMDY FILPZ2,,
37,TE,CHA,CLT,,354,354,,RMG ATL BESTT JONZE2,,
38,TE,LIT,CLT,,677,677,,MICKE BNA TAZZA FILPZ3,,
39,TE,LIT,CLT,,723,723,,MICKE SQS VUZ ATL BESTT JONZE2,,
40,TE,TYS,CLT,,198,198,,COOMDY FILPZ3,,
41,TE,TYS,CLT,,185,185,,VXV LINN2,,
42,TE,AVL,CLT,,118,118,,JJENY FILPZ3,,
43,TE,AVL,CLT,,109,109,,SUG WUUTN JALIT LINN2,,
44,TE,PGV,CLT,,244,244,,SDAIL CHSLY 3,,
45,TE,PGV,CLT,,237,237,,TYI RDU LIB MAJIC2,,
46,TE,LYH,CLT,,194,194,,LYH CHSLY3,,
47,TE,LYH,CLT,,178,178,,LYH V143 GIZMO,,
48,TE,PHF,CLT,,314,314,,COUPN CHSLY3,,
49,TE,PHF,CLT,,437,437,,ORF J174 ILM J4 BARTL OKNEE MLLET2,,
