,ACID,ETMSID,DEST,ACENTR,ORIG,DCENTR,ETD,ETA,DFIX,EDFT,DP,DTRSN,AFIX,EAFT,STAR,STRSN,USR,TYPE,CTG,CLS,ARTD,ARTA,SGTD,SGTA,IGTD,IGTA,PGTD,PGTA,PETE,LRTD,LRTA,LGTD,LGTA,ERTD,ERTA,OUT,OFF,ON,IN,OETD,OETA,BETD,BETA,OCTD,OCTA,CTD,CTA,ASLOT,CTL_ELEM,CTL_PRGM,CTL_TYPE,CTL_EXMPT,SL_HOLD,DVREC,UX,FX,RZ,RS,TO,DV,RM,ALD,GDP,AFP,CTOP,DAS,GSD,TOD,CTL_ALM,CDM_MBR,SUB,MAJOR,GCD,LTOD,NRP,LFG,III,ATV,SWP,DVT,ADC,FCA,WXR,Carrier,ID
0,UPS1284,UPS1284,CLT,ZTL,PHL,ZNY,A190719,A190824,STOEN,190734,-,-,-,-,-,-,F,B752,J,L,190719,190824,-,-,190712,190829,190619,190739,-,190725,190829,190712,190835,-,-,190712,190719,190822,190826,190725,190835,190725,190835,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Y,-,-,-,-,-,-,0x0000,Y,Y,UPS,00390,000,-,-,-,-,-,-,-,-,-,UPS,1284
61,GAJ870,GAJ870,CLT,ZTL,SDF,ZID,P190940,E191054,FEDRA,190949,-,-,-,-,LIINN2,VXV,C,B350,T,S,-,-,-,-,190930,191051,190930,191051,71,-,-,190930,191041,-,-,-,-,-,-,190940,191054,190940,191054,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0x0000,Y,Y,DCM,00291,000,-,-,-,-,-,-,-,-,-,GAJ,870
72,N711ST,N711ST,CLT,ZTL,CRW,ZID,P191043,E191153,-,-,-,-,-,-,-,-,G,PA46,P,S,-,-,-,-,191030,191151,191030,191151,71,-,-,-,-,-,-,-,-,-,-,191043,191153,191043,191153,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0x0000,Y,-,DCM,00192,000,-,-,-,-,-,-,-,-,-,N,711ST
79,N3NC,N3NC,CLT,ZTL,RDU,ZDC,P191129,E191202,LIB,191140,-,-,-,-,MAJIC2,LIB,G,BE20,T,S,-,-,-,-,191115,191200,191115,191200,35,-,-,-,-,-,-,-,-,-,-,191129,191202,191129,191202,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0x0000,Y,-,DCM,00113,000,-,-,-,-,-,-,-,-,-,N,3NC
154,N139DE,N139DE,CLT,ZTL,16GA,ZTL,L191140,L191307,-,-,-,-,-,-,-,-,G,A139,T,S,-,-,-,-,191140,191312,191140,191317,87,191140,191307,191135,191312,-,-,-,-,-,-,191140,191307,191140,191307,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0x0000,Y,-,XAA,00191,000,-,-,-,-,-,-,-,-,-,N,139DE
211,SRY7010,SRY7010,CLT,ZTL,PKB,ZID,L191310,E191417,-,-,-,-,-,-,LIINN2,HMV,C,E120,T,S,-,-,191300,191418,191300,191418,-,-,-,-,-,191300,191410,-,-,-,-,-,-,191310,191417,191310,191417,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0x0000,-,Y,SRY,00249,000,-,-,-,-,-,-,-,-,-,SRY,7010
275,N281WB,N281WB,CLT,ZTL,FXE,ZMA,L191334,E191551,-,-,-,-,-,-,-,-,G,PC12,T,S,-,-,-,-,191300,191533,-,-,-,-,-,191300,191533,-,-,-,-,-,-,191334,191551,191334,191551,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0x0000,Y,-,DCM,00542,000,-,-,-,-,-,-,-,-,-,N,281WB
329,GAJ854,GAJ854,CLT,ZTL,AVL,ZTL,L191610,E191633,-,-,-,-,-,-,-,-,C,B350,T,S,-,-,-,-,191600,191624,-,-,-,-,-,191600,191624,-,-,-,-,-,-,191610,191633,191610,191633,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0x0000,Y,Y,DCM,00079,000,-,-,-,-,-,-,-,-,-,GAJ,854
332,SRY2010,SRY2010,CLT,ZTL,BKW,ZID,L191603,E191652,-,-,-,-,-,-,LIINN2,HMV,C,E120,T,S,-,-,191602,191702,191602,191702,-,-,-,-,-,191600,191652,-,-,-,-,-,-,191603,191652,191603,191652,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0x0000,-,Y,SRY,00155,000,-,-,-,-,-,-,-,-,-,SRY,2010
343,N712GK,N712GK,CLT,ZTL,SVH,ZTL,L191710,E191718,-,-,-,-,PARQR,-,-,-,G,C56X,J,L,-,-,-,-,191700,191713,-,-,-,-,-,191700,191713,-,-,-,-,-,-,191710,191718,191710,191718,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0x0000,Y,-,DCM,00033,000,-,-,-,-,-,-,-,-,-,N,712GK
