id,airline_code,departure_station,arrival_station,route_id_in_FOS,miles,Wind Miles,route_string(excluding departure and arrival stations)
1,ENY,GGG,DFW,13,160,160,DCT SLR DCT SEEVR SEEVR4
2,ASH,LFT,DFW,47,375,375,DCT AEX DCT EIC DCT RRONY SEEVR4
3,ENY,XNA,DFW,13,312,312,DCT TUL DCT KLAWW VKTRY2
4,AAL,STL,DFW,12,549,549,JAHNY4 MAP DCT SGF DCT TUL DCT KLAWW VKTRY2
5,ASQ,JLN,DFW,12,325,325,DCT TUL DCT KLAWW VKTRY2
6,ASH,HSV,DFW,14,558,558,DCT MEM DCT LIT DCT MEEOW DCT FEWWW SEEVR3
7,AAL,MSY,DFW,16,517,517,DCT MCB DCT HARES DCT SUTTN J52 TXK DCT RRONY SEEVR4
8,AAL,TUL,DFW,13,255,255,DCT YARNS DCT IBAKE VKTRY2
9,ENY,CID,DFW,12,632,632,DCT TUL DCT KLAWW VKTRY2
10,AAL,TUL,DFW,13,255,255,DCT YARNS DCT IBAKE VKTRY2
11,ENY,LIT,DFW,13,361,361,DCT WASKO DCT CISAR DCT EIC DCT BEREE BEREE1
12,AAL,ORD,DFW,13,783,783,DCT ACITO DCT ADELL DCT ARLYN DCT STL J8 SGF DCT TUL DCT KLAWW VKTRY2
13,ENY,MSN,DFW,12,756,756,DCT DBQ DCT IRK J87 TUL DCT KLAWW VKTRY2
14,AAL,RDU,DFW,14,1005,1005,SHPRD3 SHPRD DCT SPA J118 SALMS DCT SQS DCT YUYUN BEREE1
15,AAL,MKE,DFW,11,872,872,DCT GREAS DCT JAYEX DCT DBQ J144 DSM J25 TUL DCT KLAWW VKTRY2
16,AAL,CHS,DFW,12,919,919,PLFMD2 DBN DCT MGM J4 MHZ DCT YUYUN BEREE1
17,AAL,SAN,DFW,1,1072,1072,ZZOOO2 IPL J18 GBN J50 SSO J4 INK DCT GEEKY BOOVE4
18,ASH,LBB,DFW,12,301,301,DCT GEEKY BOOVE4
19,ENY,GGG,DFW,13,160,160,DCT SLR DCT SEEVR SEEVR4
20,ASH,HOU,DFW,14,318,318,IDU9 CWK DCT GUTZZ BOOVE4
