id,airline_code,departure_station,arrival_station,route_id_in_FOS,miles,Wind Miles,route_string(excluding departure and arrival stations)
1,ENY,SGF,DFW,13.0,372,372,DCT EOS DCT TUL DCT KLAWW VKTRY2
2,AAL,STL,DFW,12.0,549,549,JAHNY4 MAP DCT SGF DCT TUL DCT KLAWW VKTRY2
3,ENY,CMI,DFW,13.0,664,664,DCT STL J8 SGF J98 TUL DCT KLAWW VKTRY2
4,AAL,CHS,DFW,12.0,919,919,PLFMD2 DBN DCT MGM J4 MHZ DCT YUYUN BEREE1
5,AAL,IND,DFW,17.0,745,745,ROCKY1 STL DCT TUL DCT KLAWW VKTRY2
6,ASQ,JLN,DFW,12.0,325,325,DCT TUL DCT KLAWW VKTRY2
7,AAL,ATL,DFW,41.0,665,665,NASSA2 YAALL J14 LIT DCT MEEOW DCT FEWWW SEEVR4
8,AAL,TUL,DFW,13.0,255,255,DCT YARNS DCT IBAKE VKTRY2
9,ASH,HOU,DFW,14.0,318,318,IDU9 CWK DCT GUTZZ BOOVE4
10,AAL,RDU,DFW,14.0,1005,1005,SHPRD3 SHPRD DCT SPA J118 SALMS DCT SQS DCT YUYUN BEREE1
11,AAL,MSP,DFW,49.0,771,771,ORSKY1 OVR DCT PER DCT IRW DCT IBAKE VKTRY2
12,AAL,SAV,DFW,13.0,845,845,DCT SMALZ DCT WIGVO DCT DBN DCT MCN DCT VUZ DCT BAKRE DCT MATIE DCT FEWWW SEEVR4
13,ENY,CID,DFW,12.0,632,632,DCT TUL DCT KLAWW VKTRY2
14,AAL,TUL,DFW,12.0,229,229,DCT PEJAY DCT AXXEE SEEVR4
15,AAL,MKE,DFW,11.0,872,872,DCT GREAS DCT JAYEX DCT DBQ J144 DSM J25 TUL DCT KLAWW VKTRY2
16,AAL,ORD,DFW,13.0,783,783,DCT ACITO DCT ADELL DCT ARLYN DCT STL J8 SGF DCT TUL DCT KLAWW VKTRY2
17,AAL,BNA,DFW,16.0,651,651,DRURY3 DRURY DCT SQS DCT MLU DCT YUYUN BEREE1
