Carrier,ID,ORIG,Ref_Central_Time,ETD,AFIX,AFIX_New,EAFT,EAFT_New,Route_ID_New,Extra Wind Miles
ENY,3539,SGF,2018-08-06 14:33:00,2018-08-06 21:03:00,BRDJE,VKTRY,2018-08-06 21:47:00,2018-08-06 21:52:09,13.0,43.0
AAL,2783,STL,2018-08-06 14:16:00,2018-08-06 20:46:00,BRDJE,VKTRY,2018-08-06 21:51:00,2018-08-06 21:57:14,12.0,52.0
ENY,3537,CMI,2018-08-06 13:59:00,2018-08-06 20:29:00,BRDJE,VKTRY,2018-08-06 21:56:00,2018-08-06 22:01:09,13.0,43.0
AAL,2646,CHS,2018-08-06 13:28:00,2018-08-06 19:58:00,BRDJE,BEREE,2018-08-06 21:57:00,2018-08-06 21:59:16,12.0,19.0
AAL,1018,IND,2018-08-06 14:06:00,2018-08-06 20:36:00,BRDJE,VKTRY,2018-08-06 22:16:00,2018-08-06 22:21:09,17.0,43.0
ASQ,2854,JLN,2018-08-06 15:03:00,2018-08-06 21:33:00,BRDJE,VKTRY,2018-08-06 22:14:00,2018-08-06 22:15:03,,9.0
AAL,1630,ATL,2018-08-06 14:15:00,2018-08-06 20:45:00,BEREE,BRDJE,2018-08-06 22:13:00,2018-08-06 22:09:32,41.0,-30.0
AAL,2275,TUL,2018-08-06 15:18:00,2018-08-06 21:48:00,BRDJE,VKTRY,2018-08-06 22:17:00,2018-08-06 22:20:07,13.0,26.0
ASH,5977,HOU,2018-08-06 15:16:00,2018-08-06 21:46:00,BEREE,BOOVE,2018-08-06 22:14:00,2018-08-06 22:21:11,,62.0
AAL,2627,RDU,2018-08-06 13:43:00,2018-08-06 20:13:00,BRDJE,BEREE,2018-08-06 22:19:00,2018-08-06 22:27:16,14.0,69.0
AAL,2203,MSP,2018-08-06 14:13:00,2018-08-06 20:43:00,BRDJE,VKTRY,2018-08-06 22:26:00,2018-08-06 22:22:31,49.0,-29.0
AAL,2373,SAV,2018-08-06 15:14:00,2018-08-06 21:44:00,BEREE,BRDJE,2018-08-06 23:49:00,2018-08-06 23:46:07,13.0,-24.0
ENY,4065,CID,2018-08-06 15:57:00,2018-08-06 22:27:00,BRDJE,VKTRY,2018-08-06 23:52:00,2018-08-06 23:53:12,12.0,10.0
AAL,2269,TUL,2018-08-06 17:05:00,2018-08-06 23:35:00,VKTRY,BRDJE,2018-08-07 00:12:00,2018-08-07 00:08:52,12.0,-26.0
AAL,2330,MKE,2018-08-06 17:11:00,2018-08-06 23:41:00,BRDJE,VKTRY,2018-08-07 01:33:00,2018-08-07 01:42:36,11.0,80.0
AAL,2300,ORD,2018-08-06 17:28:00,2018-08-06 23:58:00,BRDJE,VKTRY,2018-08-07 01:33:00,2018-08-07 01:41:09,13.0,68.0
AAL,2675,BNA,2018-08-06 18:00:00,2018-08-07 00:30:00,BRDJE,BEREE,2018-08-07 01:43:00,2018-08-07 01:53:48,16.0,90.0
