id,airline_code,departure_station,arrival_station,route_id_in_FOS,miles,Wind Miles,route_string(excluding departure and arrival stations)
1,ENY,BMI,DFW,16,642,642,DCT FTZ DCT RZC DCT FSM DCT KOMMA DCT RRNET BRDJE3
2,ENY,BMI,DFW,18,787,787,DCT STL DCT SGF DCT TUL DCT IRW DCT HOFFF DCT BBENN DCT VKTRY JOVEM4
3,AAL,CLT,DFW,22,883,883,ESTRR3 IPTAY DCT CHOPZ DCT ATL DCT VUZ Q30 SQS DCT YUYUN WHINY4
4,AAL,CLT,DFW,24,886,886,BOBZY3 BNA DCT LIT DCT MEEOW DCT FEWWW BRDJE3
5,ENY,CMI,DFW,31,648,648,DCT STL DCT RZC DCT FSM DCT KOMMA DCT RRNET BRDJE3
6,ENY,CMI,DFW,17,791,791,DCT STL DCT SGF DCT TUL DCT IRW DCT HOFFF DCT BBENN DCT VKTRY JOVEM4
7,AAL,GSP,DFW,13,793,793,DCT HRS DCT GQO J118 MEM J66 LIT DCT FEWWW BRDJE3
8,AAL,GSP,DFW,15,807,807,DCT ATL J239 MEI J20 MHZ DCT YUYUN WHINY4
9,AAL,HSV,DFW,31,583,583,DCT MSL DCT SQS DCT YUYUN WHINY4
10,AAL,HSV,DFW,32,585,585,DCT MSL DCT MEM J66 LIT DCT MEEOW DCT FEWWW BRDJE3
11,AAL,MCI,DFW,21,458,458,RACER7 DOSOA DCT COODY DCT HITUG BRDJE3
12,AAL,MCI,DFW,23,549,549,WLDCT5 ICT DCT HOFFF JOVEM4
13,ASH,MCI,DFW,21,458,458,RACER7 DOSOA DCT COODY DCT HITUG BRDJE3
14,ASH,MCI,DFW,23,549,549,WLDCT5 ICT DCT HOFFF JOVEM4
15,ENY,MCI,DFW,31,458,458,RACER7 DOSOA DCT COODY DCT HITUG BRDJE3
16,ENY,MCI,DFW,21,549,549,WLDCT5 ICT DCT HOFFF JOVEM4
17,AAL,MKE,DFW,22,814,814,DCT ACCRA DCT RBS DCT STL DCT RZC DCT FSM DCT KOMMA DCT RRNET BRDJE3
18,AAL,MKE,DFW,26,909,909,DCT JVL DCT MZV DCT MCI DCT PER DCT HOFFF JOVEM4
19,ENY,MLI,DFW,35,809,809,IRK J26 ICT DANKS HOFFF JOVEM4
20,ENY,MLI,DFW,31,646,646,DCT UIN DCT RZC DCT FSM DCT KOMMA DCT RRNET BRDJE3
21,ENY,MSN,DFW,31,760,760,DCT UIN DCT SGF DCT RZC DCT FSM DCT KOMMA DCT RRNET BRDJE3
22,ENY,MSN,DFW,33,863,863,DCT DBQ DCT MCI DCT PER DCT HOFFF JOVEM4
23,AAL,ORD,DFW,22,742,742,DCT ACITO DCT ADELL DCT ARLYN DCT STL DCT FSM DCT KOMMA DCT RRNET BRDJE3
24,AAL,ORD,DFW,11,880,880,DCT PEKUE DCT PIGGG DCT QUANE DCT CARET DCT ROEZZ DCT MCI DCT PER DCT IFI DCT HOFFF JOVEM4
25,AAL,ORF,DFW,28,1119,1119,DCT FKN DCT RDU DCT GSO DCT VXV DCT MEM J66 LIT DCT MEEOW DCT FEWWW BRDJE3
26,AAL,ORF,DFW,23,1172,1172, FKN RDU J52 SQS YUYUN WHINY4
27,ENY,PIA,DFW,31,628,628,DCT SGF DCT RZC DCT FSM DCT KOMMA DCT RRNET BRDJE3
28,ENY,PIA,DFW,20,766,766,DCT SGF DCT TUL DCT IRW DCT HOFFF DCT BBENN DCT VKTRY JOVEM4
29,AAL,RDU,DFW,22,963,963,SHPRD2 SHPRD DCT VXV DCT MEM DCT LIT DCT MEEOW DCT FEWWW BRDJE3
30,AAL,RDU,DFW,24,973,973,SHPRD2 SHPRD DCT SPA J118 SALMS DCT SQS DCT YUYUN WHINY4
31,AAL,RIC,DFW,25,1045,1045,KALLI3 SANNY DCT VXV DCT MEM J66 LIT DCT MEEOW DCT FEWWW BRDJE3
32,AAL,RIC,DFW,27,1056,1056,KALLI3 LYH DCT PSK DCT VXV DCT SQS DCT YUYUN WHINY4
33,ENY,SGF,DFW,31,356,356,DCT FSM DCT RRNET BRDJE3
34,ENY,SGF,DFW,17,534,534,DCT PER DCT HOFFF JOVEM4
35,ENY,SPI,DFW,31,591,591,DCT FTZ DCT RZC DCT FSM DCT KOMMA DCT RRNET BRDJE3
36,AAL,STL,DFW,28,512,512,JAHNY4 MAP DCT FSM DCT KOMMA DCT RRNET BRDJE3
37,AAL,STL,DFW,23,775,775,BUM J19 ICT BFV MDANO JOVEM4
38,ENY,SPI,DFW,14,756,756,STL J8 IFI HOFFF JOVEM4
39,ENY,STL,DFW,33,642,642,J19 ICT BFV MDANO JOVEM4
40,ENY,STL,DFW,31,520,520,JAHNY3 MAP DCT RZC DCT RRNET BRDJE3
41,AAL,TUL,DFW,22,255,255,DCT PEJAY DCT AXXEE BRDJE3
42,AAL,TUL,DFW,28,386,386,DCT IFI DCT HOFFF JOVEM4
43,ASH,TUL,DFW,22,255,255,DCT PEJAY DCT AXXEE BRDJE3
44,ASH,TUL,DFW,31,329,329,DCT IFI DCT HOFFF JOVEM4
45,AAL,AMA,DFW,21,327,327,PNH MDANO JOVEM4
46,AAL,AMA,DFW,22,376,376,TURKI DUMPS GEEKY SOCKK3
47,ENY,CHA,DFW,31,645,645,DCT MEM J66 LIT DCT MEEOW DCT FEWWW BRDJE3
48,ENY,CHA,DFW,32,661,661,DCT VUZ J52 SQS DCT YUYUN WHINY4
49,AAL,CHS,DFW,22,887,887,PLFMD2 DBN DCT MGM J4 MHZ DCT YUYUN WHINY4
50,AAL,CHS,DFW,14,927,927,PLFMD2 IRQ DCT RMG J66 MEEOW DCT FEWWW BRDJE3
51,ENY,COU,DFW,31,468,468,DCT RZC DCT FSM DCT RRNET BRDJE3
52,ENY,COU,DFW,32,551,551,DCT BUM DCT PER DCT IRW DCT IBAKE JOVEM4
53,AAL,DCA,DFW,2,1091,1091,OTTTO Q80 FAREV BWG.J6 LIT MEEOW FEWWW BRDJE3
54,AAL,DCA,DFW,24,1135,1135,OTTTO CAPOE COLNS J6 BWG SQS YUYUN WHINY4
55,AAL,DSM,DFW,21,602,602,J25 DOSOA DCT COODY DCT HITUG BRDJE3
56,AAL,DSM,DFW,22,672,672,DCT LMN DCT MCI DCT PER DCT IFI DCT HOFFF JOVEM4
57,AAL,HSV,DFW,31,583,583,DCT MSL DCT SQS DCT YUYUN WHINY4
58,AAL,HSV,DFW,32,585,585,DCT MSL DCT MEM J66 LIT DCT MEEOW DCT FEWWW BRDJE3
59,AAL,ICT,DFW,21,391,391,DCT JAMEY DCT PER DCT HOFFF JOVEM4
60,AAL,ICT,DFW,24,391,391,DCT TUL DCT HITUG BRDJE3
61,AAL,IAH,DFW,23,217,217,STUFT WHINY4
62,AAL,IAH,DFE,27,398,398,PITZZ4 CRGER DCT LLO DCT BWD DCT BOOVE SOCKK3
63,ENY,ICT,DFW,35,378,378,DCT HUSKA DCT TUL DCT MLC DCT AXXEE BRDJE3
64,ENY,ICT,DFW,31,391,391,DCT JAMEY DCT PER DCT HOFFF JOVEM4
65,ENY,JLN,DFW,31,343,343,DCT FSM DCT KOMMA DCT RRNET BRDJE3
66,AAL,LAS,DFW,22,974,974,GUP.J72 ABQ J72 TXO TURKI JOVEM4
67,AAL,LAS,DFW,23,1033,1033,PGS BAVPE J86 ELP J50 INK GEEKY SOCKK3
68,AAL,LBB,DFW,23,293,293,DCT HNKER JOVEM4
69,ASH,LBB,DFW,23,293,293,DCT HNKER JOVEM4
70,ASQ,LBB,DFW,23,293,293,DCT HNKER JOVEM4
71,SKW,LBB,DFW,23,293,293,DCT HNKER JOVEM4
72,AAL,OKC,DFW,22,197,197,MUDDE2 MUDDE DCT RBUKL JOVEM4
73,AAL,OKC,DFW,26,267,267,RDHWK2 HOLLE DCT MLC DCT AXXEE BRDJE3
74,ASQ,OKC,DFW,22,197,197,MUDDE2 MUDDE DCT RBUKL JOVEM4
75,ASQ,OKC,DFW,26,267,267,RDHWK2 HOLLE DCT MLC DCT AXXEE BRDJE3
76,ENY,OKC,DFW,31,197,197,MUDDE2 MOOSE DCT RBUKL JOVEM4
77,AAL,ONT,DFW,21,1104,1104,AVRRY BLH J169 TFD J50 SSO J4 INK GEEKY SOCKK3
78,AAL,ONT,DFW,22,1114,1114,AVRRY PKE PAYSO KA27S KA27W TXO TURKI JOVEM4
79,AAL,ORD,DFW,22,742,742,DCT ACITO DCT ADELL DCT ARLYN DCT STL DCT FSM DCT KOMMA DCT RRNET BRDJE3
80,AAL,ORD,DFW,11,880,880,DCT PEKUE DCT PIGGG DCT QUANE DCT CARET DCT ROEZZ DCT MCI DCT PER DCT IFI DCT HOFFF JOVEM4
81,AAL,SAV,DFW,21,830,830,DCT DBN DCT MGM DCT MLU DCT YUYUN WHINY4
