id,airline_code,departure_station,arrival_station,route_id_in_FOS,miles,Wind Miles,route_string(excluding departure and arrival stations)
1,ENY,ABI,DFW,11,163,163,DCT SNGGL BOOVE4
2,ENY,ABI,DFW,12,160,160,DCT VKTRY VKTRY2
3,AAL,ABQ,DFW,14,513,513,DCT TCC J6 PNH DCT MDANO VKTRY2
4,AAL,ABQ,DFW,2,565,565,DCT CNX DCT CME DCT BGS DCT GEEKY BOOVE4
5,ASH,ABQ,DFW,14,513,513,DCT TCC J6 PNH DCT MDANO VKTRY2
6,ASH,ABQ,DFW,2,565,565,DCT CNX DCT CME DCT BGS DCT GEEKY BOOVE4
7,ENY,AEX,DFW,11,288,288,DCT PNUTS BEREE1
8,ENY,AEX,DFW,16,309,309,DCT SWB DCT EIC DCT RRONY SEEVR4
9,AAL,ATL,DFW,1,695,695,KAJIN2 STNGA DCT MLU DCT YUYUN BEREE1
10,AAL,ATL,DFW,13,671,671,CUTTN2 HANKO DCT MEM J66 LIT DCT MEEOW DCT FEWWW SEEVR4
11,AAL,ATL,DFW,41,665,665,NASSA2 YAALL J14 LIT DCT MEEOW DCT FEWWW SEEVR4
12,AAL,AUS,DFW,2,199,199,ELOEL2 FORSS DCT GUTZZ BOOVE4
13,AAL,AUS,DFW,12,296,296,ILEXY2 ZENZI DCT STUFT BEREE1
14,ASH,BHM,DFW,11,582,582,DCT JOEYE DCT IGB DCT MLU DCT YUYUN BEREE1
15,ASH,BHM,DFW,15,557,557,DCT JOEYE DCT IGB DCT LIT DCT MEEOW DCT FEWWW SEEVR4
16,ENY,BHM,DFW,11,582,582,DCT JOEYE DCT IGB DCT MLU DCT YUYUN BEREE1
17,ENY,BHM,DFW,15,558,558,DCT JOEYE DCT IGB DCT LIT DCT MEEOW DCT FEWWW SEEVR4
18,ASH,BMI,DFW,11,615,615,DCT FTZ DCT RZC DCT FSM DCT KOMMA DCT RRNET SEEVR4
19,ASH,BMI,DFW,13,671,671,DCT UIN DCT BUM DCT TUL DCT KLAWW VKTRY2
20,AAL,BNA,DFW,11,561,561,DANLS3 DANLS DCT MEM DCT LIT DCT MEEOW DCT FEWWW SEEVR4
21,AAL,BNA,DFW,16,651,651,DRURY3 DRURY DCT SQS DCT MLU DCT YUYUN BEREE1
22,AAL,BNA,DFW,13,684,684,PARDN3 HODJS DCT ARG J46 TUL DCT KLAWW VKTRY2
23,ENY,BPT,DFW,11,271,271,DCT CRIED BEREE1
24,ENY,BPT,DFW,14,353,353,DCT DAS DCT CLL DCT GUTZZ BOOVE4
25,ASH,BRO,DFW,11,465,465,DCT CRP DCT SAT DCT GUTZZ BOOVE4
26,ASH,BRO,DFW,16,501,501,DCT CRP DCT PSX DCT TNV DCT STUFT BEREE1
27,ENY,CAE,DFW,11,865,865,DCT IRQ DCT MHZ DCT MLU DCT YUYUN BEREE1
28,ENY,CAE,DFW,12,833,833,DCT HRS DCT GQO J118 MEM DCT LIT DCT MEEOW DCT FEWWW SEEVR4
29,ASH,CHA,DFW,11,618,618,DCT MEM J66 LIT DCT MEEOW DCT FEWWW SEEVR4
30,ASH,CHA,DFW,12,693,693,DCT VUZ J52 SQS DCT YUYUN BEREE1
31,ENY,CHA,DFW,11,618,618,DCT MEM J66 LIT DCT MEEOW DCT FEWWW SEEVR4
32,ENY,CHA,DFW,12,693,693,DCT VUZ J52 SQS DCT YUYUN BEREE1
33,AAL,CHS,DFW,12,919,919,PLFMD2 DBN DCT MGM J4 MHZ DCT YUYUN BEREE1
34,AAL,CHS,DFW,13,900,900,PLFMD2 IRQ DCT RMG J66 MEEOW DCT FEWWW SEEVR4
35,ENY,CID,DFW,11,622,622,DCT SGF DCT RZC DCT FSM DCT RRNET SEEVR4
